date,close,high,low,open,volume,price_change,price_pct_change
2025-09-08,115407.65625,116769.3828125,110630.609375,111163.015625,310393050143,4244.640625,3.8183928360840564
2025-09-15,115306.09375,117911.7890625,114461.0625,115399.6328125,292893677815,-93.5390625,-0.08105663789414408
2025-09-22,112122.640625,115431.3125,108713.3984375,115309.21875,358886641603,-3186.578125,-2.763506820654788
2025-09-29,123513.4765625,125559.2109375,111589.953125,112117.875,456130203494,11395.6015625,10.163947151602722
2025-10-06,115169.765625,126198.0703125,104582.4140625,123510.453125,645797975711,-8340.6875,-6.753021537018185
2025-10-13,108666.7109375,116020.484375,103598.4296875,115161.6796875,508815465964,-6494.96875,-5.639869761907427
2025-10-20,114472.4453125,115260.90625,106778.0,108667.4453125,415030266271,5805.0,5.34198626212873
2025-10-27,110639.625,116273.3125,106376.6875,114479.8515625,378401671301,-3840.2265625,-3.3544999491927516
2025-11-03,104719.640625,110764.9140625,98962.0625,110646.90625,528630842986,-5927.265625,-5.356919434880268
2025-11-10,94177.078125,107428.2578125,92971.1640625,104723.7734375,530543355033,-10546.6953125,-10.070965709418743
2025-11-17,86805.0078125,95928.3671875,80659.8125,94180.875,601874776014,-7375.8671875,-7.831597643895324
2025-11-24,90394.3125,92969.0859375,85272.1953125,86798.7734375,400123670982,3595.5390625,4.142384644512276
2025-12-01,90405.640625,94060.7734375,83862.25,90389.109375,457343640300,16.53125,0.018288984275103663
2025-12-08,88175.1796875,94601.5703125,87634.9375,90424.5859375,449188954528,-2249.40625,-2.4876047002910835
2025-12-15,88621.75,90264.5703125,84436.3125,88171.078125,264999230688,450.671875,0.5111334516757107
2025-12-22,87835.8359375,90501.9296875,86411.796875,88621.3984375,198587430131,-785.5625,-0.8864253034260295
2025-12-29,88731.984375,90299.15625,86717.9140625,87835.7890625,136677236680,896.1953125,1.0203076924171623
